2026-04-29 23:52:14 | INFO     | __main__ | Pipeline started for input: 'car hit from behind, bumper broken, repair maybe 30k, happened last night'
2026-04-29 23:52:14 | DEBUG    | pipeline.preprocess | Preprocessed: 'car hit from behind, bumper broken, repair maybe 30k, happened last night' → 'car hit from behind, bumper broken, repair maybe 30000, happened last night'
2026-04-29 23:52:14 | INFO     | __main__ | After preprocessing: 'car hit from behind, bumper broken, repair maybe 30000, happened last night'
2026-04-29 23:52:14 | DEBUG    | pipeline.rules | Rule matched loss_type='collision'
2026-04-29 23:52:14 | DEBUG    | pipeline.rules | Rule extracted cost=30000.0
2026-04-29 23:52:14 | INFO     | pipeline.rules | Rule-based extraction result: {'loss_type': 'collision', 'estimated_cost': 30000.0, 'severity': None, 'summary': None}
2026-04-29 23:52:14 | INFO     | pipeline.llm | Calling Gemini API for LLM extraction...
2026-04-29 23:52:15 | ERROR    | pipeline.llm | Unexpected error in LLM extraction: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2026-04-29 23:52:15 | DEBUG    | pipeline.combine | Field 'loss_type' sourced from: rules
2026-04-29 23:52:15 | DEBUG    | pipeline.combine | Field 'estimated_cost' sourced from: rules
2026-04-29 23:52:15 | DEBUG    | pipeline.combine | Field 'severity' sourced from: llm
2026-04-29 23:52:15 | INFO     | pipeline.combine | Combined result: {'loss_type': 'collision', 'estimated_cost': 30000.0, 'severity': None, 'summary': None}
2026-04-29 23:52:15 | WARNING  | pipeline.validate | Invalid severity '' → defaulting to 'medium'
2026-04-29 23:52:15 | WARNING  | pipeline.validate | Missing or empty summary → using default.
2026-04-29 23:52:15 | INFO     | pipeline.validate | Validation complete: {'loss_type': 'collision', 'estimated_cost': 30000.0, 'severity': 'medium', 'summary': 'No summary available.'}
2026-04-29 23:52:15 | INFO     | __main__ | Pipeline completed in 0.414s. Output: {'loss_type': 'collision', 'estimated_cost': 30000.0, 'severity': 'medium', 'summary': 'No summary available.'}
2026-04-29 23:52:15 | INFO     | __main__ | Pipeline started for input: 'bike stolen from parking lot yesterday evening'
2026-04-29 23:52:15 | DEBUG    | pipeline.preprocess | Preprocessed: 'bike stolen from parking lot yesterday evening' → 'bike stolen from parking lot yesterday evening'
